routine,cases,mean_cycles,min_cycles,max_cycles,alias_of
SMUL16_REPAIRED,4457,252.66255328696434,230,293,
UDIV32_32,6801,404.40891,90,2285,
UMOD32_32,6801,404.40891,90,2285,UDIV32_32
SDIV32_32,6633,552.840042,75,2384,
SMOD32_32,6633,552.840042,75,2384,SDIV32_32
UMUL16_SHR8,5000,266.9656,255,290,
SMUL16_SHR8,4361,293.4113735381793,271,334,
UMUL32_SHR16,4361,779.876404494382,717,896,
SMUL32_SHR16,4361,812.9988534739739,725,938,
UDIV16_SHL8,4753,764.628235,272,1849,
SDIV16_SHL8,4585,831.02988,266,1908,
URECIP16_Q16,65536,66.233795,41,239,
SIN8,256,23.0,23,23,
COS8,256,23.0,23,23,
SINCOS8,256,31.0,31,31,
ATAN2_8,65536,48.0,48,48,
ISQRT16,65536,54.0,54,54,
ISQRT32,4130,1046.6225181598063,899,1237,
DIST8_FAST,65536,79.07003784179688,63,95,
DIST8_ACCURATE,65536,85.07003784179688,69,101,
VEC2_NORMALIZE_Q8_8,107396,170.058633468658,133,306,
